Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",Paddling,Female,57.0,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
18-Jun-2018,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,Female,11.0,Minor injury to left thigh,N,14h00  -15h00,
09-Jun-2018,2018.0,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,Male,48.0,Injury to left lower leg from surfboard skeg,N,07h45,
08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,Male,,Minor injury to lower leg,N,,2 m shark
04-Jun-2018,2018.0,Provoked,MEXICO,Colima,La Ticla,Free diving,Male,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m"
03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,Male,,"No injury, board bitten",N,,
03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,Male,18.0,FATAL,Y,Late afternoon,Tiger shark
27-May-2018,2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,Male,52.0,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'"
26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,Male,15.0,Lower left leg bitten,N,17h00,"Bull shark, 6'"
26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,Male,12.0,Minor injury to foot,N,14h00,
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,Male,32.0,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark
21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,Male,10.0,Injuries to lower right leg and foot,N,,
13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,Male,10.0,Severe bite to right forearm,N,15h00,
13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,Male,21.0,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident
May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,Female,34.0,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m"
12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,Male,,"Minor injury, marks on board",N,11h00,
09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,Male,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed
Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,Male,,Minor injury to ankle,N,,
28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,Male,30.0,"No injury, shark bit scuba gear",N,10h40,Tiger shark
28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,Male,,"No injury, knocked off board by shark",N,16h50,
25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,Male,,No injury,N,07h00,Questionable
25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,Male,60.0,"No injury, knocked off board by shark",N,09h30,3 m shark
24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,Male,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m"
23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,Male,32.0,5-inch cut to hand,N,21h50,Tiger shark
22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,Male,33.0,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m"
19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,Male,29.0,Lacerations to right lower leg,N,,6' shark
15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,Male,54.0,Lacerations to foot and ankle,N,,Juvenile bull shark
15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,Male,34.0,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,Male,41.0,Laceration to right thigh,N,,
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,Male,37.0,Lacerations to legs,N,08h00,
14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,Male,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark
Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,Male,56.0,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed
09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,,"No injury, shark bit board",N,17h00,2 m shark
05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,Swimming,Male,12.0,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark
03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,Male,19.0,Lacerations to left knee & lower leg,N,15h00,White shark
31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,Male,25.0,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'"
14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,Male,10.0,Minor injuries to legs,N,17h35,Wobbegong shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,Male,69.0,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,Male,18.0,"Minor injury, ankle grazed",N,07h30,1.8 m shark
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,Male,38.0, The shark & man simply collided; neither were injured,N,,Blacktip shark
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,Female,55.0,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m"
18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,Male,34.0,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,
15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,Male,35.0,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m"
14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,Female,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong
11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,Female,46.0,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark"
03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,Male,45.0,Injuries to right foot,N,,Galapagos shark?
01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,Male,14.0,"No injury no attack. This is considerd an ""encounter""",N,,2m shark
28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,Male,18.0,Injuries to right leg,N,08h00,Bull shark
21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,Male,,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m "
14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,Male,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m
13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,Male,28.0,"No injury, shark took his swimfin",N,,"White shark, 3.5 m"
12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,Male,20.0,Minor injury to left forearm,N,Late afternoon,small shark
05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,Male,,Foot bitten,N,,Wobbegong shark?
31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,Female,54.0,Severe lacerations to left thigh & knee,N,18h00,Tiger shark
30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,Female,35.0,Foot bitten,N,12h00,
21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,Male,24.0,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark
09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,,Snorkeling,Female,25.0,Minor injury to arm,N,,Nurse shark. 5'
